SAalphabet - 74573512 function calls (69176563 primitive calls) in 189.844 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53009    0.109    0.000    0.109    0.000 :0(__enter__)
    53009    0.047    0.000    0.047    0.000 :0(__exit__)
        1    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
  6795734    7.312    0.000    7.312    0.000 :0(abs)
    53009    0.047    0.000    0.047    0.000 :0(acquire)
        2    0.000    0.000    0.000    0.000 :0(allocate_lock)
  4156762    4.922    0.000    4.922    0.000 :0(append)
        2    0.000    0.000    0.000    0.000 :0(charmap_decode)
        3    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000  189.844  189.844 :0(exec)
       18    0.000    0.000    0.000    0.000 :0(find)
  1104266    3.047    0.000    6.297    0.000 :0(get)
20965601/15568652   28.750    0.000   39.906    0.000 :0(hash)
    10000    0.219    0.000    1.000    0.000 :0(heappop)
    43009    0.281    0.000    1.062    0.000 :0(heappush)
       21    0.000    0.000    0.000    0.000 :0(isinstance)
   766726    0.953    0.000    0.953    0.000 :0(items)
  1138284    1.125    0.000    1.125    0.000 :0(len)
     1580    0.000    0.000    0.000    0.000 :0(lower)
      701    0.000    0.000    0.000    0.000 :0(match)
        9    0.000    0.000    0.000    0.000 :0(min)
        1    0.000    0.000    0.000    0.000 :0(open)
        6    0.000    0.000    0.000    0.000 :0(ord)
    10000    0.016    0.000    4.016    0.000 :0(pop)
        2    0.000    0.000    0.000    0.000 :0(print)
        2    0.000    0.000    0.000    0.000 :0(process_time)
        1    0.000    0.000    0.000    0.000 :0(readlines)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
        1    0.000    0.000    0.000    0.000 :0(sorted)
  1118208    1.891    0.000    1.891    0.000 :0(upper)
        1    0.250    0.250  189.844  189.844 <string>:1(<module>)
        1    0.000    0.000  189.594  189.594 __main__.py:6(main)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
    30928    0.125    0.000    0.812    0.000 action.py:102(precondition)
    21369    0.172    0.000   14.172    0.001 action.py:105(effect)
     9999    0.359    0.000   16.859    0.002 action.py:111(getSuccessors)
    43008    0.031    0.000    0.031    0.000 action.py:15(cost)
    75493    0.203    0.000   42.859    0.001 action.py:23(prepairSuccessor)
    39996    0.203    0.000    0.578    0.000 action.py:34(__init__)
    39996    0.094    0.000    0.688    0.000 action.py:42(precondition)
    32250    0.125    0.000   18.609    0.001 action.py:45(effect)
     9999    0.281    0.000   20.203    0.002 action.py:50(getSuccessors)
   101852    0.109    0.000    0.109    0.000 action.py:6(__init__)
    30928    0.281    0.000    0.719    0.000 action.py:62(__init__)
    30928    0.078    0.000    0.672    0.000 action.py:71(precondition)
    21874    0.219    0.000   12.781    0.001 action.py:74(effect)
     9999    0.297    0.000   15.391    0.002 action.py:80(getSuccessors)
    30928    0.281    0.000    0.844    0.000 action.py:93(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 communicator.py:10(loadFile)
        1    0.000    0.000    0.000    0.000 communicator.py:15(parseMap)
       26    0.000    0.000    0.000    0.000 condition.py:17(__init__)
    10988    0.062    0.000    0.094    0.000 condition.py:21(check)
       26    0.000    0.000    0.000    0.000 condition.py:4(__init__)
        2    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
   150987    0.438    0.000    0.531    0.000 entity.py:20(__init__)
   150986    0.484    0.000    1.016    0.000 entity.py:24(copyConstructor)
   199887    0.547    0.000    1.500    0.000 entity.py:27(__hash__)
    32485    0.078    0.000    0.125    0.000 entity.py:30(__eq__)
  2113857    2.641    0.000    2.641    0.000 entity.py:4(__init__)
  1962844    5.703    0.000    8.250    0.000 entity.py:40(__init__)
  1962818    5.547    0.000   13.797    0.000 entity.py:44(copyConstructor)
  5197062   11.781    0.000   40.484    0.000 entity.py:47(__hash__)
   844610    2.516    0.000    3.750    0.000 entity.py:50(__eq__)
       26    0.000    0.000    0.000    0.000 entity.py:60(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:265(__call__)
       12    0.000    0.000    0.000    0.000 enum.py:515(__new__)
        6    0.000    0.000    0.000    0.000 enum.py:801(__and__)
  3397867   12.750    0.000   20.062    0.000 location.py:12(manhattanDistance)
   101852    0.641    0.000    0.969    0.000 location.py:18(fromDirection)
    61856    0.188    0.000    0.297    0.000 location.py:23(direction)
    19998    0.484    0.000    0.688    0.000 location.py:27(getNeighbors)
