       107986389 function calls (90882248 primitive calls) in 316.234 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3029    0.000    0.000    0.000    0.000 :0(__enter__)
     3029    0.000    0.000    0.000    0.000 :0(__exit__)
  1782820    1.547    0.000    1.547    0.000 :0(__new__)
  1782820    4.000    0.000    4.000    0.000 :0(__reduce_ex__)
        2    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
    36920    0.047    0.000    0.047    0.000 :0(abs)
     3029    0.000    0.000    0.000    0.000 :0(acquire)
        2    0.000    0.000    0.000    0.000 :0(allocate_lock)
  4050231    3.203    0.000    3.203    0.000 :0(append)
        2    0.000    0.000    0.000    0.000 :0(charmap_decode)
        1    0.000    0.000    0.000    0.000 :0(close)
        3    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000  316.234  316.234 :0(exec)
       18    0.000    0.000    0.000    0.000 :0(find)
 28091637   44.953    0.000   44.984    0.000 :0(get)
  3565640    6.391    0.000    6.391    0.000 :0(getattr)
  1782829    3.891    0.000    3.891    0.000 :0(hasattr)
507569/470757    0.562    0.000    0.625    0.000 :0(hash)
     1117    0.000    0.000    0.031    0.000 :0(heappop)
     1912    0.047    0.000    0.047    0.000 :0(heappush)
 21047953   30.578    0.000   30.578    0.000 :0(id)
  3565661    5.656    0.000    5.656    0.000 :0(isinstance)
  1782820    2.438    0.000    2.438    0.000 :0(issubclass)
  1973968    1.875    0.000    1.875    0.000 :0(items)
     2318    0.000    0.000    0.000    0.000 :0(len)
    17414    0.047    0.000    0.047    0.000 :0(lower)
      112    0.000    0.000    0.000    0.000 :0(match)
        9    0.000    0.000    0.000    0.000 :0(min)
        2    0.000    0.000    0.000    0.000 :0(open)
        6    0.000    0.000    0.000    0.000 :0(ord)
     1117    0.016    0.000    0.078    0.000 :0(pop)
       12    0.000    0.000    0.000    0.000 :0(print)
       12    0.000    0.000    0.000    0.000 :0(process_time)
        1    0.000    0.000    0.000    0.000 :0(readlines)
        1    0.000    0.000    0.000    0.000 :0(setprofile)
        1    0.000    0.000    0.000    0.000 :0(sorted)
  1782820    3.438    0.000    3.438    0.000 :0(update)
        1    0.000    0.000  316.234  316.234 <string>:1(<module>)
        1    0.000    0.000  316.234  316.234 __main__.py:6(main)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
     2380    0.000    0.000    0.016    0.000 action.py:104(precondition)
      641    0.016    0.000   64.766    0.101 action.py:107(effect)
     1116    0.000    0.000   66.688    0.060 action.py:113(getSuccessors)
     1911    0.000    0.000    0.000    0.000 action.py:17(cost)
     3090    0.359    0.000  308.094    0.100 action.py:25(prepairSuccessor)
     4464    0.000    0.000    0.031    0.000 action.py:36(__init__)
     4464    0.000    0.000    0.078    0.000 action.py:44(precondition)
     1829    0.000    0.000  181.938    0.099 action.py:47(effect)
     1116    0.016    0.000  183.641    0.165 action.py:52(getSuccessors)
     2380    0.016    0.000    0.047    0.000 action.py:64(__init__)
     2380    0.047    0.000    0.078    0.000 action.py:73(precondition)
      620    0.031    0.000   62.875    0.101 action.py:76(effect)
     9224    0.031    0.000    0.031    0.000 action.py:8(__init__)
     1116    0.047    0.000   64.891    0.058 action.py:82(getSuccessors)
     2380    0.031    0.000    0.078    0.000 action.py:95(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:185(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 communicator.py:10(loadFile)
        1    0.000    0.000    0.000    0.000 communicator.py:15(parseMap)
        3    0.000    0.000    0.000    0.000 condition.py:17(__init__)
